Week,Date,Time,Away,Home,AwayScore,HomeScore
1,3/7/2020,8,QDC,CDR,54,39
1,3/8/2020,3,SDG,BIS,50,36
2,3/12/2020,8,DKC,FRS,NA,NA
2,3/14/2020,9,IOW,OAK,NA,NA
2,3/14/2020,9,CDR,SDG,NA,NA
2,3/15/2020,4,BIS,SXF,NA,NA
3,3/19/2020,8,TSC,CDR,NA,NA
3,3/21/2020,8,ARI,QDC,NA,NA
3,3/21/2020,9,DKC,OAK,NA,NA
3,3/22/2020,3,SPK,BIS,NA,NA
3,3/22/2020,4,FRS,GNB,NA,NA
4,3/26/2020,10,SDG,SPK,NA,NA
4,3/28/2020,9,ARI,OAK,NA,NA
4,3/29/2020,3,IOW,BIS,NA,NA
4,3/29/2020,4,FRS,SXF,NA,NA
4,3/29/2020,4,QDC,GNB,NA,NA
4,3/29/2020,4,DKC,TSC,NA,NA
5,4/3/2020,8,SPK,QDC,NA,NA
5,4/3/2020,8,GNB,IOW,NA,NA
5,4/4/2020,8,BIS,FRS,NA,NA
5,4/4/2020,8,SXF,CDR,NA,NA
5,4/4/2020,8,SDG,DKC,NA,NA
5,4/5/2020,6,TSC,ARI,NA,NA
6,4/9/2020,10,SXF,SPK,NA,NA
6,4/10/2020,8,GNB,CDR,NA,NA
6,4/11/2020,8,BIS,QDC,NA,NA
6,4/11/2020,8,ARI,IOW,NA,NA
6,4/11/2020,8,SDG,TSC,NA,NA
6,4/11/2020,8,OAK,DKC,NA,NA
7,4/18/2020,7,CDR,BIS,NA,NA
7,4/18/2020,9,FRS,ARI,NA,NA
7,4/18/2020,9,OAK,SDG,NA,NA
7,4/18/2020,10,TSC,SPK,NA,NA
7,4/19/2020,4,IOW,GNB,NA,NA
7,4/19/2020,4,QDC,SXF,NA,NA
8,4/24/2020,7,OAK,GNB,NA,NA
8,4/25/2020,8,ARI,SXF,NA,NA
8,4/25/2020,8,BIS,IOW,NA,NA
8,4/25/2020,8,DKC,QDC,NA,NA
8,4/26/2020,4,FRS,CDR,NA,NA
8,4/26/2020,6,TSC,SDG,NA,NA
9,5/2/2020,8,IOW,SXF,NA,NA
9,5/2/2020,8,QDC,FRS,NA,NA
9,5/2/2020,9,BIS,OAK,NA,NA
9,5/2/2020,9,GNB,TSC,NA,NA
9,5/2/2020,9,SPK,ARI,NA,NA
9,5/3/2020,6,DKC,SDG,NA,NA
10,5/8/2020,8,SDG,FRS,NA,NA
10,5/8/2020,7,ARI,TSC,NA,NA
10,5/9/2020,8,SXF,BIS,NA,NA
10,5/9/2020,8,GNB,CDR,NA,NA
10,5/9/2020,9,QDC,IOW,NA,NA
10,5/9/2020,10,OAK,SPK,NA,NA
11,5/15/2020,8,DKC,SXF,NA,NA
11,5/16/2020,7,GNB,BIS,NA,NA
11,5/16/2020,8,CDR,IOW,NA,NA
11,5/16/2020,9,TSC,ARI,NA,NA
11,5/16/2020,9,SDG,OAK,NA,NA
11,5/16/2020,10,FRS,SPK,NA,NA
12,5/22/2020,8,SXF,QDC,NA,NA
12,5/23/2020,8,FRS,DKC,NA,NA
12,5/24/2020,6,SPK,TSC,NA,NA
13,5/29/2020,8,BIS,GNB,NA,NA
13,5/30/2020,8,IOW,CDR,NA,NA
13,5/30/2020,8,TSC,DKC,NA,NA
13,5/30/2020,9,FRS,OAK,NA,NA
13,5/30/2020,9,QDC,ARI,NA,NA
13,5/30/2020,10,SDG,SPK,NA,NA
14,6/5/2020,8,GNB,QDC,NA,NA
14,6/6/2020,10,IOW,BIS,NA,NA
14,6/6/2020,7,CDR,FRS,NA,NA
14,6/6/2020,8,SPK,SXF,NA,NA
14,6/6/2020,8,ARI,DKC,NA,NA
14,6/7/2020,8,OAK,SDG,NA,NA
15,6/13/2020,8,SPK,FRS,NA,NA
15,6/13/2020,8,QDC,IOW,NA,NA
15,6/13/2020,8,SXF,GNB,NA,NA
15,6/13/2020,8,CDR,DKC,NA,NA
15,6/13/2020,9,BIS,TSC,NA,NA
15,6/13/2020,9,OAK,ARI,NA,NA
16,6/19/2020,8,IOW,FRS,NA,NA
16,6/20/2020,7,GNB,OAK,NA,NA
16,6/20/2020,8,CDR,QDC,NA,NA
16,6/20/2020,8,SXF,DKC,NA,NA
16,6/20/2020,10,ARI,SPK,NA,NA
16,6/21/2020,6,TSC,SDG,NA,NA
17,6/27/2020,8,GNB,CDR,NA,NA
17,6/27/2020,8,SXF,IOW,NA,NA
17,6/27/2020,9,OAK,TSC,NA,NA
17,6/27/2020,9,DKC,ARI,NA,NA
17,6/27/2020,9,SPK,SDG,NA,NA
18,7/4/2020,NA,NA,NA,NA,NA
18,7/4/2020,NA,NA,NA,NA,NA
18,7/4/2020,NA,NA,NA,NA,NA
18,7/4/2020,NA,NA,NA,NA,NA
19,7/11/2020,NA,NA,NA,NA,NA
19,7/11/2020,NA,NA,NA,NA,NA
21,7/25/2020,NA,NA,NA,NA,NA
