"ARI_Rating","BIS_Rating","CDR_Rating","DKC_Rating","FRS_Rating","GNB_Rating","IOW_Rating","OAK_Rating","QDC_Rating","SDG_Rating","SPK_Rating","SXF_Rating","TSC_Rating","ARI_Wins","BIS_Wins","CDR_Wins","DKC_Wins","FRS_Wins","GNB_Wins","IOW_Wins","OAK_Wins","QDC_Wins","SDG_Wins","SPK_Wins","SXF_Wins","TSC_Wins","SEED1","SEED2","SEED3","SEED4","SEED5","SEED6","SEED7","SEED8","SEMI_LOSER_1","SEMI_LOSER_2","IFL_RU","IFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4","WeeklyWinner5","WeeklyWinner6"
1754.686349694,1347.9615317872,1356.23916107662,1423.85914937284,1424.24108791403,1545.30358434355,1616.92864937563,1448.75020652934,1518.08765937654,1489.39249723008,1399.9440252629,1649.24812822008,1525.35796881721,12,3,4,5,6,9,8,7,6,10,4,10,7,"ARI","SXF","SDG","GNB","IOW","OAK","TSC","FRS","TSC","GNB","SDG","ARI","FRS","IOW","SDG","SXF",NA,NA
1705.64379857507,1350.96080809905,1434.55497745041,1418.93841204334,1488.38777021473,1586.44176412969,1610.11010950279,1475.62253111884,1539.32612074387,1360.64780676246,1431.15487916948,1646.63396209953,1451.57705909075,11,3,8,5,8,9,8,9,7,4,6,9,4,"ARI","GNB","SXF","OAK","FRS","CDR","IOW","QDC","QDC","CDR","FRS","GNB","FRS","OAK","CDR","BIS",NA,NA
1709.41939385465,1346.30391086333,1437.01495192673,1466.71445445523,1477.78131560868,1510.70364721034,1710.3989828944,1380.26209128583,1457.35300953728,1369.31654743707,1434.68970906517,1665.23475808055,1534.80722678074,11,3,8,7,9,7,12,3,3,5,6,10,7,"IOW","ARI","SXF","FRS","CDR","TSC","DKC","GNB","DKC","CDR","TSC","IOW","DKC","IOW","SDG","SXF",NA,NA
1701.84405668303,1312.4992377868,1366.52017673368,1447.02154318738,1441.30104718176,1577.69293331575,1688.53861420179,1476.82839508847,1528.60737127143,1405.61244653338,1385.17978638039,1653.08885331785,1515.2655373183,10,1,5,6,7,10,10,9,7,6,3,9,8,"IOW","ARI","GNB","OAK","SXF","TSC","FRS","QDC","SXF","GNB","ARI","IOW","FRS","OAK","CDR","SXF",NA,NA
1768.97647702012,1334.51667131298,1407.1422926572,1416.47918963834,1486.13924182227,1576.30968786268,1563.57356482421,1364.30025701699,1508.84258798403,1370.21988914317,1418.4223565881,1749.15364542412,1535.92413770578,13,2,6,5,8,11,5,2,6,5,5,14,9,"ARI","GNB","TSC","FRS","QDC","CDR","SDG","DKC","CDR","GNB","FRS","ARI","FRS","IOW","CDR","SXF",NA,NA
1782.73728501329,1313.45644703359,1295.05314432804,1406.28763362686,1459.27960971568,1525.02646622143,1631.25346719283,1475.62933467532,1509.10954242194,1415.9065739843,1442.50135384456,1666.31293597064,1577.44620497153,14,1,1,4,8,8,8,9,6,7,6,10,9,"SXF","TSC","OAK","GNB","FRS","IOW","SDG","QDC","SXF","GNB","IOW","TSC","FRS","OAK","SDG","SXF",NA,NA
1689.55194069597,1437.6514282504,1339.61698128809,1442.70537314559,1524.43952958119,1495.44453912314,1631.77558480622,1365.59912810284,1570.23309080077,1383.78303238904,1405.16389814599,1673.83860552845,1540.19686714231,10,6,3,6,12,6,9,2,7,6,4,11,9,"FRS","SXF","ARI","IOW","TSC","QDC","BIS","SDG","FRS","IOW","BIS","QDC","FRS","IOW","SDG","SXF",NA,NA
1737.63129053904,1311.05651128208,1424.89511105266,1420.05515954993,1476.89672512352,1564.58215776376,1666.66219815446,1379.08245439758,1532.70979475355,1417.59772867492,1344.22948749134,1671.37971827181,1553.22166194537,11,1,8,5,9,10,10,3,7,7,1,10,9,"ARI","IOW","SXF","GNB","TSC","FRS","CDR","QDC","TSC","SXF","IOW","ARI","FRS","IOW","CDR","SXF",NA,NA
1689.82738818837,1332.06990815454,1372.39471771805,1426.32431639912,1454.82648525616,1513.69870641106,1673.4847404454,1487.72526499987,1532.86443300734,1399.2825591135,1423.52651328165,1704.29601927844,1489.67894674652,10,2,5,5,7,7,9,10,7,6,5,12,6,"SXF","ARI","OAK","IOW","GNB","FRS","QDC","TSC","FRS","ARI","SXF","IOW","FRS","OAK","SDG","SXF",NA,NA
1746.48613132585,1312.32866914043,1350.01478571837,1418.74075468848,1441.55787830713,1479.29098955908,1658.0739647793,1466.11417742438,1576.49879673103,1380.37490446119,1414.571054692,1749.4600621831,1506.48782998965,12,1,4,5,7,5,10,7,10,5,5,13,7,"SXF","ARI","QDC","IOW","FRS","OAK","TSC","SPK","OAK","IOW","ARI","SXF","FRS","IOW","CDR","SXF",NA,NA
