"Team","Red","Green","Blue","hex"
"TSC",185,29,46,"#b91d2e"
"TSC",240,184,33,"#f0b821"
"TSC",0,0,0,"#000000"
"TSC",250,250,250,"#fafafa"
"SPK",0,47,101,"#002f65"
"SPK",255,255,0,"#ffff00"
"SPK",243,119,54,"#f37736"
"SXF",0,50,99,"#003263"
"SXF",191,46,26,"#bf2e1a"
"SXF",255,255,255,"#ffffff"
"SDG",107,114,86,"#6b7256"
"SDG",235,169,4,"#eba904"
"SDG",0,0,0,"#000000"
"QDC",216,187,116,"#d8bb74"
"QDC",31,58,112,"#1f3a70"
"QDC",198,39,59,"#c6273b"
"QDC",255,255,255,"#ffffff"
"OAK",181,152,90,"#b5985a"
"OAK",0,0,0,"#000000"
"OAK",255,255,255,"#ffffff"
"IOW",255,224,26,"#ffe01a"
"IOW",238,58,67,"#ee3a43"
"IOW",0,0,0,"#000000"
"GNB",0,72,58,"#00483a"
"GNB",187,187,187,"#bbbbbb"
"GNB",255,255,255,"#ffffff"
"FRS",21,53,91,"#15355b"
"FRS",192,198,196,"#c0c6c4"
"FRS",120,166,200,"#78a6c8"
"FRS",255,255,255,"#ffffff"
"CDR",71,139,202,"#478bca"
"CDR",254,197,46,"#fec52e"
"CDR",13,34,63,"#0d223f"
"CDR",255,255,255,"#ffffff"
"DKC",129,130,133,"#818285"
"DKC",0,0,0,"#000000"
"DKC",0,255,241,"#00fff1"
"DKC",194,194,106,"#c2c26a"
"BIS",239,97,35,"#ef6123"
"BIS",124,103,67,"#7c6743"
"BIS",0,0,0,"#000000"
"ARI",215,127,32,"#d77f20"
"ARI",35,31,32,"#231f20"
"ARI",26,181,176,"#1ab5b0"
