Full,Abbr,Loc,Name,City,State,Color1,Color2,Color3,Color4
Arizona Rattlers,ARI,Arizona,Rattlers,Phonix,AZ,#d77f20,#231f20,#1ab5b0,
Bismarck Bucks,BIS,Bismarck,Bucks,Bismarck,ND,#ef6123,#7c6743,#000000,
Cedar Rapids River Kings,CDR,Cedar Rapids,River Kings,Cedar Rapids,IA,#478bca,#fec52e,#0d223f,#ffffff
Duke City Gladiators,DKC,Duke City,Gladiators,Albuquerque,NM,#818285,#000000,#00fff1,#c2c26a
Frisco Fighters,FRS,Frisco,Fighters,Frisco,TX,#15355b,#c0c6c4,#78a6c8,#ffffff
Green Bay Blizzard,GNB,Green Bay,Blizzard,Green Bay,WI,#00483a,#bbbbbb,#ffffff,
Iowa Barnstormers,IOW,Iowa,Barnstormers,Des Moines,IA,#ffe01a,#ee3a43,#000000,
Oakland Panthers,OAK,Oakland,Panthers,Oakland,CA,#b5985a,#000000,#ffffff,
Quad City Steamwheelers,QDC,Quad City,Steamwheelers,Moline,IL,#d8bb74,#1f3a70,#c6273b,#ffffff
San Diego Strike Force,SDG,San Diego,Strike Force,San Diego,CA,#6b7256,#eba904,#000000,
Sioux Falls Storm,SXF,Sioux Falls,Storm,Sioux Falls,SD,#003263,#bf2e1a,#ffffff,
Spokane Shock,SPK,Spokane,Shock,Spokane,WA,#002f65,#ffff00,#f37736,
Tucson Sugar Skulls,TSC,Tucson,Sugar Skulls,Tucson,AZ,#b91d2e,#f0b821,#000000,#fafafa
